PWSID,pws_name,total_samples,total_results,any_detection,ever_exceeded_federal_mcl,max_pfoa_ppt,max_pfos_ppt,num_pfas_detected,max_pfas6_sum_ppt,ever_exceeded_ma_mmcl
MA2110000,GRAFTON WATER DISTRICT,9,232,True,True,6.8999999999999995,6.8999999999999995,5,20.299999999999997,True
MA2115000,GROTON WATER DEPARTMENT,4,116,True,False,,,1,10.5,False
MA2134000,"HOLDEN WATER DIVISION, DPW",11,290,True,True,4.8999999999999995,,5,13.399999999999999,False
MA2136000,HOLLISTON WATER DEPARTMENT,8,182,True,True,5.3,6.5,5,17.4,False
MA2138000,HOPEDALE WATER DEPARTMENT,4,116,True,True,6.8,4.3,4,17.6,False
MA2139000,HOPKINTON WATER DEPARTMENT,8,203,True,True,7.2,,5,15.7,False
MA2141000,HUDSON WATER SUPPLY,6,124,True,False,,,1,10.5,False
MA2147000,LANCASTER WATER DEPARTMENT,4,116,False,False,,,0,10.5,False
MA2151001,CHERRY VALLEY/ ROCHDALE WATER DISTRICT,8,232,True,False,,,2,10.5,False
MA2153000,LEOMINSTER WATER DIVISION,14,406,True,True,4.3,,1,12.8,False
MA2158000,LITTLETON WATER DEPARTMENT,2,58,False,False,,,0,10.5,False
MA2162000,LUNENBURG WATER DISTRICT,4,116,True,True,5.1000000000000005,,3,13.600000000000001,False
MA2170000,MARLBOROUGH DPW  WATER DIV. (MWRA),5,116,False,False,,,0,10.5,False
MA2174000,"MAYNARD DPW, WATER DIVISION",7,174,True,True,7.1000000000000005,4.2,5,17.8,False
MA2175000,MEDFIELD WATER DEPT.,7,174,True,True,7.0,6.7,5,20.1,True
MA2177000,MEDWAY WATER DEPARTMENT,4,116,True,True,7.2,,4,15.7,False
MA2185000,MILFORD WATER COMPANY,7,149,True,True,7.1000000000000005,6.6,5,20.2,True
MA2186000,"AQUARION WATER COMPANY, MILLBURY",11,290,True,True,15.8,6.2,7,32.8,True
MA2187000,MILLIS WATER DEPT,9,232,True,True,6.8999999999999995,7.3,5,20.7,True
MA2208000,NORFOLK WATER DIVISION,8,232,True,True,7.0,4.5,5,18.0,False
MA2208001,MCI NORFOLK/CEDAR JUNCTION/WALPOLE,2,58,False,False,,,0,10.5,False
MA2212000,NORTH BROOKFIELD WATER DEPARTMENT,5,116,False,False,,,0,10.5,False
MA2215000,NORTHBOROUGH WATER DEPARTMENT (MWRA),6,116,False,False,,,0,10.5,False
MA2216000,WHITINSVILLE WATER COMPANY,8,232,False,False,,,0,10.5,False
MA2216006,NORTHBRIDGE WATER DIVISION,4,116,False,False,,,0,10.5,False
MA2226000,AQUARION WATER COMPANY OXFORD,7,174,True,False,,,1,10.5,False
MA2228000,PAXTON WATER DEPARTMENT,5,116,True,False,,,3,10.5,False
MA2232000,PEPPERELL DPW WATER DIVISION,5,145,True,True,11.4,10.0,2,27.9,True
MA2257000,RUTLAND WATER DEPARTMENT,9,232,False,False,,,0,10.5,False
MA2270000,SHIRLEY WATER DISTRICT,6,149,True,True,6.8999999999999995,,5,17.6,False
MA2270001,MCI SHIRLEY,3,58,True,False,,,1,17.7,False
MA2271000,SHREWSBURY WATER DEPARTMENT,2,58,True,True,5.4,5.6,5,17.5,False
MA2277000,SOUTHBOROUGH DPW WATER DIVISION (MWRA),4,116,False,False,,,0,10.5,False
MA2278000,SOUTHBRIDGE WATER DEPARTMENT,4,116,True,False,,,1,10.5,False
MA2280000,SPENCER WATER DEPARTMENT,4,116,False,False,,,0,10.5,False
MA2282000,STERLING WATER DEPARTMENT,4,116,True,True,,5.2,1,13.7,False
MA2287000,STURBRIDGE WATER DEPARTMENT,8,232,False,False,,,0,10.5,False
MA2294000,TEMPLETON MUNIC. LIGHT AND WATER PLANT,8,232,True,True,5.2,,4,15.200000000000001,False
MA2299000,TOWNSEND WATER DEPARTMENT,9,261,True,True,6.5,,3,15.0,False
MA2303000,UPTON DPW WATER/WASTEWATER DIVISION,6,174,False,False,,,0,10.5,False
MA2304000,"UXBRIDGE DPW,  WATER DIVISION",6,174,True,True,,6.7,3,17.1,False
MA2316000,WEBSTER WATER DEPARTMENT,6,116,True,True,4.4,,3,12.9,False
MA2321000,WEST BOYLSTON WATER DISTRICT,10,290,True,True,5.4,,3,13.9,False
